id                                  type    cgroup-mode content              cpu      disk hastate level maxcpu    maxdisk      maxmem        mem name              node          plugintype pool    status    storage           uptime vmid
qemu/100                            qemu                                  16.91%    0.00 B                    2  15.50 GiB    4.00 GiB   2.29 GiB VLWEBSRV00111     PPHYPVIS00111            PROD    running                     16w 7h 100
qemu/101                            qemu                                  32.25%    0.00 B                    8 100.00 GiB   64.00 GiB  15.19 GiB VMNBWEB002        PPHYPVIS00111            NETBANK running                  23w 1d 2h 101
qemu/102                            qemu                                   2.46%    0.00 B                    4 332.00 GiB    4.00 GiB   1.92 GiB VLCM0011          PPHYPVIS00111            NETBANK running                     24w 5h 102
qemu/103                            qemu                                  16.76%    0.00 B                    4 332.00 GiB    4.00 GiB   3.52 GiB VLCM0111          PPHYPVIS00111            NETBANK running                     24w 5h 103
qemu/104                            qemu                                  18.86%    0.00 B                    4 332.00 GiB    4.00 GiB   3.56 GiB VLCM0211          PPHYPVIS00111            NETBANK running                 22w 6d 22h 104
qemu/105                            qemu                                   0.38%    0.00 B                    4  32.00 GiB    4.00 GiB   3.16 GiB VLFILESRV0111     PPHYPVIS00111            PROD    running                 16w 2d 14h 105
qemu/106                            qemu                                   2.10%    0.00 B                    4 100.00 GiB    4.00 GiB   3.70 GiB VWNBWEB001        PPHYPVIS00111            NETBANK running                  23w 3d 3h 106
qemu/107                            qemu                                   0.71%    0.00 B                    2   8.50 GiB    2.00 GiB   1.50 GiB VLGATEWAY00111    PPHYPVIS00111            PROD    running                 24w 3d 23h 107
qemu/108                            qemu                                   0.40%    0.00 B                    4  32.00 GiB    4.00 GiB   3.06 GiB VLProject001      PPHYPVIS00111                    running                  24w 4d 3h 108
qemu/109                            qemu                                   0.76%    0.00 B                    4  32.20 GiB    4.00 GiB   3.11 GiB VLWIKI0111        PPHYPVIS00111            PROD    running                 24w 2d 21h 109
qemu/110                            qemu                                   2.73%    0.00 B                    4 332.00 GiB    8.00 GiB   2.55 GiB VLCM0311          PPHYPVIS00111            NETBANK running                     24w 5h 110
qemu/111                            qemu                                   0.38%    0.00 B                    4 532.00 GiB    4.00 GiB   1.93 GiB LVSQLQA0133       PPHYPVIS00111            STG     running                 16w 6d 21h 111
qemu/112                            qemu                                   2.86%    0.00 B                    4  93.00 GiB    4.00 GiB   3.79 GiB VWAPPSRV0311      PPHYPVIS00111            PROD    running                  21w 4d 4h 112
qemu/113                            qemu                                   4.48%    0.00 B                    4  93.00 GiB    4.00 GiB   3.81 GiB VWAPPSSRV0411     PPHYPVIS00111            PROD    running                  21w 4d 4h 113
qemu/114                            qemu                                   0.81%    0.00 B                    2  32.00 GiB    4.00 GiB   2.82 GiB VLNETBOX0111      PPHYPVIS00111                    running                 21w 3d 23h 114
qemu/115                            qemu                                   3.93%    0.00 B                   32  93.00 GiB   64.00 GiB  49.85 GiB VWDBSRVSQL0111    PPHYPVIS00111            PROD    running                 16w 2d 14h 115
qemu/116                            qemu                                  38.95%    0.00 B                    6 100.00 GiB   12.00 GiB  11.10 GiB VMNBWEB001        PPHYPVIS00111            NETBANK running                  21w 1d 2h 116
qemu/117                            qemu                                   1.52%    0.00 B                    2  25.00 GiB    2.00 GiB   1.65 GiB 00-PASSBOLT-16    PPHYPVIS00111                    running                 16w 4d 17h 117
qemu/118                            qemu                                   4.76%    0.00 B                    2  64.00 GiB    2.00 GiB   1.16 GiB 00nisnb204        PPHYPVIS00111                    running                  16w 1d 5h 118
qemu/119                            qemu                                   0.76%    0.00 B                    2  32.00 GiB    8.00 GiB   3.66 GiB PRD-VLITM001      PPHYPVIS00111                    running                    16w 17h 119
qemu/120                            qemu                                   0.66%    0.00 B                    2  32.00 GiB    4.00 GiB   2.30 GiB PRD-VLDNS001      PPHYPVIS00111                    running                    16w 17h 120
qemu/121                            qemu                                   3.21%    0.00 B                    4 132.00 GiB    8.00 GiB   7.42 GiB VLGITLAB0111      PPHYPVIS00111            PROD    running                 11w 1d 17h 121
qemu/122                            qemu                                   0.86%    0.00 B                    4   1.96 TiB    4.00 GiB   3.20 GiB VLSMARTUP111      PPHYPVIS00111            PROD    running                  6w 3d 21h 122
qemu/123                            qemu                                  22.93%    0.00 B                    4  40.00 GiB    8.00 GiB   4.15 GiB VLZTNA111         PPHYPVIS00111            PROD    running                  6w 2d 18h 123
qemu/124                            qemu                                   0.00%    0.00 B                    2 250.00 GiB   16.00 GiB     0.00 B VWSCIP111         PPHYPVIS00111            PROD    stopped                         0s 124
